"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @BLACKPINK: BLACKPINK WORLD TOUR [BORN PINK] LONDON HIGHLIGHT CLIP

#BLACKPINK #블랙핑크 #BORNPINK #BLACKPINK_WORLDTOUR #BLACKPINK_BORNPINK …",FALSE,0,NA,2022-12-05 12:53:20,FALSE,NA,"1599748760078540801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rippaneko_",5565,TRUE,FALSE,NA,NA
"Sunday but 2023 
#BlackPink https://t.co/8sKesTLR5e https://t.co/hfVTR9kgG3",FALSE,0,NA,2022-12-05 12:53:20,FALSE,NA,"1599748758329524226",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BlinkstanOT4",0,FALSE,FALSE,NA,NA
"RT @BBU_BLACKPINK: #BLACKPINK is nominated for “MAIN” and “KWAVE” at the 32nd Seoul Music Awards!

VOTINGS will start tomorrow, Dec 6th at…",FALSE,0,NA,2022-12-05 12:53:19,FALSE,NA,"1599748753401208833",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bptrsre",654,TRUE,FALSE,NA,NA
"RT @BLACKPINK: BLACKPINK WORLD TOUR [BORN PINK] LONDON HIGHLIGHT CLIP

#BLACKPINK #블랙핑크 #BORNPINK #BLACKPINK_WORLDTOUR #BLACKPINK_BORNPINK …",FALSE,0,NA,2022-12-05 12:53:18,FALSE,NA,"1599748749081088000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","g_12bt",5565,TRUE,FALSE,NA,NA
"RT @BLACKPINK: #BLACKPINK ‘B.P.M.’ TEASER

🎬https://t.co/oRSlbLuFq8

#블랙핑크 #BPM #BORN_PINK_MEMORIES #TEASER #BORNPINK #YOUTUBE #YG",FALSE,0,NA,2022-12-05 12:53:17,FALSE,NA,"1599748746518343681",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pathak_manya",19279,TRUE,FALSE,NA,NA
"RT @BBU_BLACKPINK: .@BLACKPINK #BORNPINK_WORLDTOUR REMINDERS: DO NOT PUSH EACH OTHER ON VIP &amp; GA STANDING FLOOR. RESPECT EACH OTHER’S SPACE…",FALSE,0,NA,2022-12-05 12:53:17,FALSE,NA,"1599748744429588481",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","InlovewithBP4",292,TRUE,FALSE,NA,NA
"RT @ygent_official: #BLACKPINK WORLD TOUR [BORN PINK] LONDON HIGHLIGHT CLIP

#블랙핑크 #BORNPINK #BLACKPINK_WORLDTOUR #BLACKPINK_BORNPINK #LOND…",FALSE,0,NA,2022-12-05 12:53:16,FALSE,NA,"1599748743452319744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vvppppppppp",1654,TRUE,FALSE,NA,NA
"RT @BP_VotingTeam2: 🚨 How to collect hearts for SMA 2022?

Collect as early as now Blinks!

1. Click ""store"" icon (located at the upper rig…",FALSE,0,NA,2022-12-05 12:53:15,FALSE,NA,"1599748735810285570",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thisisnins_",172,TRUE,FALSE,NA,NA
"RT @ygent_official: #BLACKPINK WORLD TOUR [BORN PINK] LONDON HIGHLIGHT CLIP

#블랙핑크 #BORNPINK #BLACKPINK_WORLDTOUR #BLACKPINK_BORNPINK #LOND…",FALSE,0,NA,2022-12-05 12:53:14,FALSE,NA,"1599748733528584193",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dan7865",1654,TRUE,FALSE,NA,NA
"RT @CloutNewsMedia: Jisoo of BLACKPINK reveals via her Instagram that she's currently shooting a Vlog 📸💛

#kimjisoo #jisoo #sooya @blackpin…",FALSE,0,NA,2022-12-05 12:53:14,FALSE,NA,"1599748731171049477",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jellysunrosie",364,TRUE,FALSE,NA,NA
